faixa_etaria,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
65-69,8389270,8674776,8958732,9238697,9508176,9769005,10012567,10228627,10413054,10571583,10705456,10826933,10953251,11097747,11259108,11435622,11639503
70-74,6269517,6524625,6785580,7050895,7319211,7589260,7859008,8128008,8393958,8650717,8900052,9134049,9343105,9523268,9679745,9813827,9936817
75-79,4303589,4510688,4718085,4929163,5145910,5368956,5598186,5833108,6072280,6314475,6558840,6803822,7048906,7291820,7526870,7755931,7972000
80-84,2603930,2713413,2846371,2997150,3159937,3327985,3497314,3667920,3842091,4021127,4205796,4396326,4592037,4791579,4993852,5198494,5404544
85-89,1416752,1473498,1523487,1570490,1621490,1684746,1764561,1860140,1967145,2081537,2199820,2320240,2442541,2567864,2696811,2830208,2968535
90+,730526,769300,814288,861797,907157,951587,997560,1043218,1088851,1135750,1189054,1252215,1323244,1399529,1479389,1563902,1654289
